Saigon Cactus Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13980296-Reviews-Saigon_Cactus_Homestay-Ho_Chi_Minh_City.html
Sky Gem Central Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19139787-Reviews-Sky_Gem_Central_Hotel-Ho_Chi_Minh_City.html
Bluesky Serviced Apartment Saigon Airport Plaza,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8520550-Reviews-Bluesky_Serviced_Apartment_Saigon_Airport_Plaza-Ho_Chi_Minh_City.html
The Odys Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3561871-Reviews-The_Odys_Boutique_Hotel-Ho_Chi_Minh_City.html
Khách sạn Sunrise Central,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10366519-Reviews-Sunrise_Central_Hotel-Ho_Chi_Minh_City.html
Dyn Opera Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17577594-Reviews-Dyn_Opera_Hotel-Ho_Chi_Minh_City.html
The Landmark,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1225717-Reviews-The_Landmark-Ho_Chi_Minh_City.html
Khách sạn Palace Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306211-Reviews-Palace_Hotel_Saigon-Ho_Chi_Minh_City.html
Erato Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d11791710-Reviews-Erato_Boutique_Hotel-Ho_Chi_Minh_City.html
Teeup Home,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13236789-Reviews-Teeup_Home-Ho_Chi_Minh_City.html
Saigon Eden Garden Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6163837-Reviews-Saigon_Eden_Garden_Hotel-Ho_Chi_Minh_City.html
Le Jardin Secret Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17790717-Reviews-Le_Jardin_Secret_Saigon-Ho_Chi_Minh_City.html
Aiden Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15108779-Reviews-Aiden_Saigon_Hotel-Ho_Chi_Minh_City.html
Huong Mai Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3222908-Reviews-Huong_Mai_Hotel-Ho_Chi_Minh_City.html
Sherwood Suites,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13201752-Reviews-Sherwood_Suites-Ho_Chi_Minh_City.html
Park Hyatt Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d577218-Reviews-Park_Hyatt_Saigon-Ho_Chi_Minh_City.html
Khách sạn Victory,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1165174-Reviews-Victory_Hotel-Ho_Chi_Minh_City.html
Truong Giang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d4843466-Reviews-Truong_Giang_Hotel-Ho_Chi_Minh_City.html
Cozrum Homes - Ambera House,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21063746-Reviews-Cozrum_Homes_Ambera_House-Ho_Chi_Minh_City.html
Hon En Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2522695-Reviews-Hon_En_Hotel_Spa-Ho_Chi_Minh_City.html
Saigon Cozy Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13422448-Reviews-Saigon_Cozy_Hotel-Ho_Chi_Minh_City.html
Cozi 5 Hotel & Apartment,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23463969-Reviews-Cozi_5_Hotel_Apartment-Ho_Chi_Minh_City.html
Hotel L Odeon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8126625-Reviews-Hotel_L_Odeon-Ho_Chi_Minh_City.html
Sao Mai Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10433139-Reviews-Sao_Mai_Hotel-Ho_Chi_Minh_City.html
Chez Mimosa Corner,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12989620-Reviews-Chez_Mimosa_Corner-Ho_Chi_Minh_City.html
Villa Sông Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1554688-Reviews-Villa_Song_Saigon-Ho_Chi_Minh_City.html
Adora Art Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d4082472-Reviews-Adora_Art_Hotel-Ho_Chi_Minh_City.html
Parkroyal Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1024510-Reviews-PARKROYAL_Saigon-Ho_Chi_Minh_City.html
Lily's Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7108078-Reviews-Lily_s_Hostel-Ho_Chi_Minh_City.html
Vy Da Backpackers Hostel 2,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13307669-Reviews-Vy_Da_Backpackers_Hostel_2-Ho_Chi_Minh_City.html
Khách Sạn ÊMM Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d5960339-Reviews-EMM_Hotel_Saigon-Ho_Chi_Minh_City.html
